CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10085,228.89,0.76,0.0,0.0,0.0,82.1,0.6,0.13,0.49,0.08,17,56,930.6,260.15,47.02,0.13,12
C10086,4528.03,0.79,4885.69,3181.85,2127.91,204.37,0.95,0.33,0.6,0.03,18,46,9137.2,4444.94,1286.2,0.15,12
C10087,662.24,0.29,995.12,498.74,360.48,189.58,0.28,0.36,0.21,0.2,15,7,2409.01,423.18,77.8,0.85,9
C10088,0.0,0.84,79.22,54.21,12.65,165.58,0.12,0.89,0.74,0.01,10,21,2249.31,0.0,0.0,0.02,11
C10089,1510.63,0.48,582.32,242.66,100.64,96.87,0.61,0.96,0.63,0.03,9,54,3685.98,1526.73,381.72,0.45,12
C10090,354.68,0.25,28.59,11.25,10.62,198.37,0.97,0.17,0.59,0.07,10,12,500.0,315.16,23.35,0.06,6
C10091,4528.35,0.47,4447.86,2526.82,1024.02,95.79,0.71,0.02,0.48,0.08,15,53,10597.44,2801.0,1044.16,0.23,12
C10092,986.55,0.78,1048.59,554.82,243.04,154.24,0.89,0.83,0.36,0.05,17,53,3850.23,1037.11,254.13,0.74,10
C10093,1532.25,0.72,1196.79,479.25,525.45,180.96,0.9,0.56,0.55,0.02,15,3,4722.14,977.04,282.07,0.46,10
C10094,450.45,0.59,8.05,3.61,0.87,243.75,0.22,0.75,0.77,0.18,14,59,1289.46,333.79,35.04,0.29,12
C10095,907.0,0.42,517.15,203.35,132.91,103.49,0.69,0.33,0.71,0.1,9,46,3104.32,919.3,63.25,0.63,11
C10096,1039.6,0.53,932.27,368.05,182.06,78.99,0.86,0.16,0.74,0.19,5,29,2823.07,1225.22,58.1,0.73,12
C10097,332.27,0.51,114.54,51.2,12.7,211.61,0.1,0.26,0.21,0.18,6,20,1808.86,373.22,47.02,0.28,12
C10098,383.31,0.51,49.63,33.24,9.26,217.75,0.65,0.05,0.78,0.1,19,27,876.81,451.87,78.69,0.11,12
C10099,2900.47,0.59,188.44,119.46,32.73,2838.45,0.27,0.39,0.34,0.79,8,13,5557.15,2255.76,558.43,0.12,12
C10100,2763.01,0.56,157.82,79.69,47.63,2463.27,0.82,0.1,0.23,0.47,9,46,2195.53,2224.48,490.28,0.14,12
C10101,3605.71,0.28,2752.8,1351.92,754.48,205.52,0.22,0.46,0.12,0.2,9,24,9533.17,2213.94,556.41,0.21,7
C10102,489.52,0.43,2.05,0.64,0.59,0.0,0.37,0.8,0.83,0.12,7,26,1068.65,406.71,107.8,0.02,12
C10103,2912.11,0.3,141.42,68.58,63.8,1010.66,0.68,0.05,0.62,0.62,2,55,5060.29,3046.95,788.63,0.16,12
C10104,3125.68,0.68,3853.1,2117.32,1147.34,86.54,0.56,0.9,0.84,0.2,4,2,10350.24,1713.65,802.12,0.29,9
C10105,2842.4,0.54,3809.24,2329.11,1354.57,108.2,0.12,0.12,0.56,0.04,4,23,8583.4,2055.93,650.23,0.02,12
C10106,851.79,0.74,555.46,245.73,199.41,15.2,0.23,0.66,0.86,0.18,3,36,4489.1,977.76,104.84,0.48,12
C10107,491.55,0.27,60.39,40.33,18.52,117.75,0.89,0.24,0.56,0.16,2,14,1336.67,308.59,140.15,0.28,7
C10108,381.59,0.48,55.61,35.37,12.34,121.32,0.99,0.84,0.65,0.09,18,10,1900.94,270.16,101.24,0.25,11
C10109,2627.0,0.34,151.86,50.55,70.05,2240.28,0.69,0.01,0.06,0.59,1,31,4053.53,3032.98,753.8,0.0,12
C10110,1341.5,0.27,1237.31,818.08,340.59,262.68,0.01,0.42,0.67,0.12,2,11,3546.47,994.53,274.69,0.85,12
C10111,363.85,0.82,70.58,27.46,23.18,134.38,0.74,0.96,0.6,0.08,11,24,780.02,393.55,48.48,0.09,12
C10112,137.21,0.3,39.4,26.37,12.75,190.28,0.64,0.11,0.24,0.03,18,5,901.42,96.18,22.37,0.05,12
C10113,738.79,0.34,728.5,402.33,314.02,0.0,0.41,0.76,0.11,0.15,13,1,4333.89,502.31,97.4,0.39,9
C10114,506.83,0.49,18.16,8.44,5.7,0.0,0.23,0.73,0.35,0.15,2,44,1362.77,319.79,69.81,0.07,10
C10115,2346.28,0.43,316.09,150.01,89.38,1879.18,0.17,0.32,0.06,0.3,12,11,5987.42,1276.07,366.94,0.2,12
C10116,2874.47,0.94,3622.6,1902.28,1028.91,248.39,0.08,0.06,0.6,0.07,11,1,9069.43,2272.99,815.63,0.09,10
C10117,2417.8,0.99,3822.97,2437.33,1574.98,19.21,0.64,0.83,0.55,0.01,14,1,8945.66,2416.33,421.59,0.09,12
C10118,1316.02,0.54,1036.67,658.04,240.5,111.47,0.34,0.9,0.92,0.11,5,34,2457.48,1123.54,198.84,0.48,11
C10119,1231.8,0.36,1135.23,528.97,538.03,1.19,0.52,0.13,0.52,0.12,8,31,2953.95,967.12,258.48,0.77,12
C10120,162.91,0.6,1582.96,1012.48,694.35,42.51,0.53,0.85,0.73,0.17,19,34,2559.27,104.77,19.81,0.64,8
C10121,2022.19,0.6,1322.07,646.2,205.37,115.45,0.61,0.83,0.66,0.01,15,38,3251.04,1978.62,105.56,0.55,12
C10122,512.03,0.57,0.0,0.0,0.0,60.59,0.59,0.58,0.7,0.02,5,39,1624.37,346.64,119.03,0.29,7
C10123,2020.73,0.22,632.58,251.32,292.41,0.0,0.52,0.78,0.31,0.01,14,43,4022.93,1055.74,268.99,0.6,11
C10124,672.02,0.3,43.28,27.32,9.15,0.0,0.16,0.04,0.42,0.19,17,51,1255.63,789.75,73.5,0.05,12
C10125,875.04,0.31,789.43,432.63,179.25,0.0,0.03,0.5,0.12,0.1,14,12,3253.97,1014.82,160.79,0.7,10
C10126,151.54,0.48,106.49,50.31,19.91,138.13,0.58,0.97,0.65,0.05,12,5,1474.83,98.52,13.68,0.1,12
C10127,483.62,0.66,102.59,57.96,12.49,147.81,0.42,0.78,0.3,0.0,15,48,1544.35,322.58,57.79,0.15,12
C10128,120.62,0.9,22.54,14.53,6.57,147.4,0.41,0.27,0.55,0.02,10,4,1411.15,109.29,21.48,0.21,12
C10129,770.8,0.38,760.49,288.33,305.67,27.27,0.43,0.62,0.92,0.14,4,24,2386.31,616.02,226.3,0.85,11
C10130,290.15,0.82,30.92,14.13,11.25,180.48,0.11,0.21,0.68,0.1,9,36,1581.39,325.39,32.2,0.11,12
C10131,1927.21,0.38,160.64,72.63,17.84,2908.3,0.18,0.22,0.27,0.44,11,2,4094.59,1539.53,321.38,0.13,12
C10132,1484.59,0.23,783.57,258.9,242.4,100.58,0.66,0.19,0.51,0.05,15,58,3711.36,883.45,270.2,0.34,12
C10133,368.56,0.72,99.68,43.23,23.14,87.45,0.51,0.19,0.6,0.09,15,55,2556.43,325.31,84.12,0.0,9
C10134,925.72,0.37,418.87,253.3,149.42,48.07,0.61,0.5,0.85,0.12,2,50,5079.16,536.25,167.09,0.76,11
C10135,482.25,0.94,90.57,36.35,23.74,115.37,0.13,0.31,0.79,0.04,1,41,500.0,392.09,,0.18,12
C10136,2543.13,0.95,0.0,0.0,0.0,2003.79,0.81,0.78,0.32,0.88,3,47,5596.56,2299.23,676.61,0.01,12
C10137,1065.98,0.28,733.71,500.46,316.51,191.03,0.37,0.89,0.92,0.03,4,33,2904.23,1238.4,128.66,0.76,11
C10138,4655.01,0.36,3047.1,1187.12,1158.35,79.5,0.61,0.49,0.15,0.14,5,45,8934.6,3283.41,1205.25,0.13,12
C10139,105.32,0.37,49.85,23.12,15.27,143.09,0.47,0.19,0.28,0.12,9,2,2348.78,100.54,12.18,0.13,12
C10140,1606.81,0.93,1317.16,464.34,443.15,11.89,0.47,1.0,0.03,0.09,14,12,3783.2,803.61,405.46,0.35,12
C10141,1596.43,0.26,665.96,384.16,184.37,158.41,0.78,0.05,0.31,0.11,8,0,2463.51,1772.05,333.91,0.62,12
C10142,3072.4,0.8,254.54,125.46,106.36,2471.99,0.11,0.55,0.41,0.87,9,7,3046.92,2218.17,590.31,0.03,12
C10143,1599.39,0.43,1187.48,635.88,550.15,155.22,0.07,0.22,0.24,0.16,18,33,4181.21,1069.31,265.47,0.54,11
C10144,1182.37,0.67,667.17,407.96,333.34,337.53,0.1,0.94,0.01,0.15,15,45,4413.44,676.02,220.34,0.57,12
C10145,487.08,0.34,51.38,31.37,17.45,54.4,1.0,0.32,0.01,0.04,15,52,1432.46,511.27,52.92,0.05,10
C10146,276.18,0.85,92.51,46.84,34.48,333.82,0.93,0.96,0.92,0.18,15,9,1143.41,149.02,,0.02,10
C10147,976.03,0.74,506.61,330.78,131.69,139.25,0.7,0.97,0.73,0.08,0,38,3336.12,910.16,197.28,0.69,12
C10148,1896.93,0.22,950.55,639.5,98.28,40.03,0.45,0.94,0.7,0.09,14,44,5551.1,1367.44,275.8,0.72,12
C10149,292.64,0.39,52.26,28.86,19.93,36.36,0.09,0.79,0.79,0.11,9,0,1913.45,292.0,42.57,0.29,10
C10150,3590.35,0.57,1785.23,562.99,845.51,289.2,0.82,0.74,0.69,0.16,12,19,7585.87,4222.48,491.36,0.18,12
C10151,806.97,0.62,263.95,161.11,117.15,2827.53,0.19,0.95,0.06,0.67,15,38,4232.77,558.75,205.35,0.28,12
C10152,453.85,0.86,45.34,29.78,20.47,54.71,0.27,0.22,0.93,0.05,1,8,1481.88,423.81,66.31,0.23,12
C10153,1722.0,0.51,1314.52,687.04,342.89,83.72,0.84,0.81,0.43,0.19,13,20,4633.86,1307.65,335.93,0.54,11
C10154,176.32,0.94,96.37,55.91,37.14,134.46,0.26,0.11,0.45,0.19,17,27,1500.95,151.03,51.67,0.27,12
C10155,4312.36,0.36,5573.63,2465.87,1980.71,99.3,0.84,0.36,0.89,0.16,10,7,8109.73,2407.61,248.06,0.14,12
C10156,410.18,0.89,62.69,31.4,19.83,127.67,0.79,0.4,0.2,0.03,13,4,841.82,263.77,43.06,0.12,12
C10157,4728.99,0.92,3364.71,2083.57,540.53,241.89,0.84,1.0,0.31,0.12,1,48,8946.85,4993.65,1330.3,0.22,8
C10158,4158.86,0.7,2848.62,1852.7,940.55,9.76,0.67,0.32,0.86,0.09,15,5,6777.14,3083.61,953.11,0.22,8
C10159,4391.51,0.97,2717.12,940.36,596.23,151.57,0.35,0.55,0.52,0.02,18,34,9188.21,2198.86,632.88,0.11,12
C10160,229.75,0.53,65.8,20.19,25.1,94.17,0.65,0.63,0.42,0.02,7,25,2623.54,166.48,16.64,0.14,8
C10161,3288.86,0.76,105.99,47.64,50.66,3285.67,0.83,0.68,0.95,0.68,8,43,6232.61,3186.17,587.01,0.06,12
C10162,133.27,0.21,30.01,13.7,11.74,185.77,0.75,0.12,0.89,0.02,10,53,1396.07,157.28,32.78,0.04,8
C10163,97.15,0.42,42.18,25.7,8.6,0.0,0.86,0.56,0.89,0.05,2,9,1722.36,106.66,15.13,0.11,9
C10164,1025.28,0.65,986.4,299.31,282.21,0.0,0.98,0.63,0.21,0.03,1,56,1961.1,1055.84,267.59,0.79,11
C10165,1999.39,0.9,1020.88,618.25,332.75,117.96,0.69,0.9,0.84,0.12,1,6,4378.64,2300.34,245.17,0.87,12
C10166,4035.37,0.96,3169.97,1631.04,1237.75,88.95,0.93,0.96,0.66,0.15,3,52,9649.02,3880.42,701.31,0.05,12
C10167,3352.7,0.66,2778.34,1609.02,442.14,0.0,0.27,0.24,0.69,0.05,15,30,7473.42,2894.8,243.22,0.04,12
C10168,180.73,0.88,0.0,0.0,0.0,0.0,0.97,0.21,0.05,0.16,12,2,2422.07,158.63,32.78,0.26,12
C10169,3022.79,0.84,185.96,114.61,82.58,2425.89,0.91,0.68,0.56,0.37,12,31,6810.79,3509.36,801.84,0.21,12
C10170,71.56,0.82,85.22,40.47,9.46,137.04,0.04,0.49,0.22,0.07,1,52,1525.29,35.89,6.3,0.04,12
C10171,1512.7,0.29,1422.98,623.74,556.43,101.57,0.59,0.74,0.93,0.05,5,34,3471.99,1302.38,306.16,0.63,12
C10172,498.08,0.58,99.8,55.35,45.13,275.62,0.5,0.85,0.56,0.09,18,5,,517.18,64.03,0.15,12
C10173,2350.3,0.59,196.96,94.1,82.39,3061.01,0.82,0.01,0.62,0.77,10,44,5192.96,1237.85,325.17,0.17,12
C10174,196.83,0.83,0.0,0.0,0.0,241.54,0.13,0.88,0.24,0.15,1,50,1113.13,211.83,10.26,0.25,12
C10175,177.52,0.67,44.27,29.46,18.29,5.6,0.53,0.27,0.42,0.04,18,39,900.11,193.64,32.53,0.14,9
C10176,1268.02,0.86,769.39,453.41,236.36,2.61,0.5,0.97,0.53,0.19,11,24,3798.01,1098.76,375.75,0.51,12
C10177,2744.84,0.97,105.84,40.09,30.78,2233.12,0.4,0.43,0.81,0.65,9,40,8313.21,2964.83,,0.23,12
C10178,2450.08,0.64,272.01,162.13,30.67,1341.84,0.99,0.85,0.61,0.88,11,20,5155.98,1469.67,265.99,0.05,12
C10179,3360.96,0.83,1839.81,737.69,197.67,199.97,0.54,0.2,0.11,0.18,7,10,8198.52,3899.2,358.19,0.28,11
C10180,2073.63,0.65,151.17,71.43,53.78,1611.25,0.41,0.53,0.45,0.55,13,51,3201.58,1107.71,395.09,0.28,12
C10181,3468.01,0.7,75.38,29.17,15.84,1473.41,0.86,0.06,0.3,0.7,6,25,6224.11,1824.44,338.05,0.1,12
C10182,366.16,0.58,1075.26,371.31,239.61,179.14,0.14,0.73,0.54,0.04,7,45,3979.08,317.39,105.42,0.86,11
C10183,368.15,0.97,70.55,32.42,29.83,174.89,0.29,0.94,0.47,0.03,3,35,1389.0,373.55,82.49,0.28,12
C10184,5007.29,0.85,3723.31,1943.69,538.05,67.46,0.28,0.84,0.02,0.17,3,52,9942.7,4957.41,1033.12,0.28,12
C10185,3924.03,0.8,4344.01,1828.17,927.59,141.49,0.93,0.68,0.21,0.14,18,31,8516.39,3473.35,200.1,0.03,12
C10186,1342.15,0.46,936.06,308.9,350.1,37.95,0.88,0.12,0.66,0.16,4,18,1592.97,1407.29,225.01,0.86,9
C10187,371.56,0.59,44.07,17.62,4.95,76.56,0.61,0.98,0.54,0.15,3,18,2704.95,343.84,93.77,0.15,8
C10188,4315.39,0.89,3102.19,1235.49,955.21,16.57,0.32,0.34,0.05,0.18,9,31,8328.87,4725.96,762.74,0.17,12
C10189,106.93,0.95,125.88,67.51,16.89,39.31,0.47,0.63,0.6,0.08,1,56,1706.86,62.13,25.08,0.1,12
C10190,1211.27,1.0,122.83,50.71,49.71,2433.18,0.57,0.27,0.5,0.44,8,11,5536.95,1437.78,267.1,0.02,10
C10191,294.15,0.79,0.0,0.0,0.0,60.73,0.54,0.83,0.15,0.05,2,8,1190.14,328.42,83.06,0.13,12
C10192,263.44,0.78,65.31,31.88,22.43,39.3,0.26,0.38,0.0,0.02,5,15,1582.69,296.81,37.32,0.08,12
C10193,3708.5,0.28,3663.97,1489.56,690.71,0.0,0.13,0.39,0.34,0.1,3,58,10575.17,2798.16,950.64,0.13,12
C10194,395.16,0.8,0.0,0.0,0.0,256.89,0.91,0.0,0.78,0.1,17,36,1637.01,459.49,45.49,0.08,12
C10195,358.84,0.48,7.82,4.43,1.72,59.95,0.64,0.58,0.13,0.02,8,46,1550.46,214.96,67.96,0.13,10
